Score,Role Type,Work Type,Sector,Title,Company,Location,Source,Matched Keywords,Posted,URL,Description
40,Data / Analytics,Remote,Compliance / Risk / Fraud,"Lead, Advanced Analytics, Payments",airbnb,United States,Greenhouse:airbnb,"fraud prevention, risk management, aml, compliance, reconciliation, regulatory, sql, python, excel, data analysis, etl, stakeholder, cross-functional, process improvement, fraud, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-02T19:47:01-04:00,https://careers.airbnb.com/positions/7967712?gh_jid=7967712,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;We are seeking a highly skilled and experienced professional to join our team as the Payments Insights Analytics Lead. In this role, you will play a critical part in executing the strategic direction of Airbnb&#39;s Payments operations.&lt;/p&gt;
&lt;p&gt;Within this role, you will enable, facilitate, and assist in streamlining integrated data-driven decision making across the Payments Platform, Product, Operations organizations. The team is committed to operational excellence and Host and Guest experience through a culture of problem-solving, guided by data and research. We inject quantitative measurements into our user journey, product, processes and implement objective indicators of success. You will collaborate in the development and implementation of policies and procedures related to receiving and processing funds. Oversee the day to day operations in partnership with finance across collection, reconciliation and settlement (e.g., timely processing of payments motioning systems for issues). Collaboration will be a key aspect of this role, as you will work closely with cross-functional teams to drive process improvements and streamline payments data globally. Your ability to effectively communicate and build relationships with stakeholders at all levels of the organization will be essential in achieving our goals.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;The"
40,Compliance / Risk / Fraud,Remote,Compliance / Risk / Fraud,Payments Risk Analyst II,coinbase,Remote - USA,Greenhouse:coinbase,"fraud prevention, risk analyst, risk management, eligibility, investigation, data privacy, remote-first, sql, workflow, stakeholder, cross-functional, federal, financial services, fintech, fraud, COMBO:Fraud+Data ⭐",2026-06-18T14:01:50-04:00,https://www.coinbase.com/careers/positions/7984814?gh_jid=7984814,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Ready to do the most impactful work of your career? At&amp;nbsp;&lt;a href=&quot;https://www.coinbase.com/?utm_campaign=mt_o_m_w_m_m__coi_0_jd-onchain&amp;amp;utm_source=coinbase&quot;&gt;Coinbase&lt;/a&gt;, we are uncompromising on our mission to increase economic freedom. The bar is high, the environment is intense, and we like it that way. This isn&#39;t a place for complacency, it’s a place to be pushed past your perceived limits. If you&#39;re ready to build the future of finance alongside people who refuse to settle for &quot;good enough,&quot; you belong here. Coinbase is a remote-first, but not remote-only company. Expect to get together quarterly for intense in-person working sessions called “surges.”&amp;nbsp;&lt;a href=&quot;https://www.coinbase.com/careers&quot;&gt;learn more about working at Coinbase&lt;/a&gt;.&lt;/p&gt;&lt;/div&gt;&lt;div class=&quot;text-message flex min-h-[20px] flex-col items-start gap-3 overflow-visible [.text-message+&amp;amp;]:mt-5&quot;&gt;
&lt;div class=&quot;markdown prose message-content dark:prose-invert light w-full break-words dark:text-gray-100&quot;&gt;&amp;nbsp;&lt;/div&gt;
&lt;/div&gt;
&lt;div class=&quot;text-message flex min-h-[20px] flex-col items-start gap-3 overflow-visible [.text-message+&amp;amp;]:mt-5&quot;&gt;
&lt;div class=&quot;markdown prose message-content dark:prose-invert light w-full break-words dark:text-gray-100&quot;&gt;&lt;hr&gt;
&lt;h1&gt;Payments Risk Analyst II&lt;/h1&gt;
&lt;p class=&quot;mb-2 whitespace-pre-wrap&quot;&gt;As a Payments Risk Analyst II on the Risk &amp;amp; Fraud team within the &lt;a href=&quot;https://www.coinbase.com/careers/product-groups&quot; target=&quot;_blank&quot;&gt;Consumer &amp;amp; Business&lt;/a&gt; group, you&#39;ll own the identification and mitigation of fraud risk across Coinbase&#39;s fiat payment rails, protecting the company&#39;s bottom line and millions of customers without degrading the user experience. "
39,Data / Analytics,Remote,Compliance / Risk / Fraud,Senior Data Analyst,instacart,United States - Remote,Greenhouse:instacart,"anomaly detection, sox, audit, compliance, reconciliation, sql, python, dashboard, data analyst, tableau, data integrity, reporting, forecasting, project management, deliverables, workflow, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-24T16:24:24-04:00,https://instacart.careers/job/?gh_jid=7783158,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;We&#39;re transforming the grocery industry&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;&lt;span class=&quot;im&quot;&gt;At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible earnings opportunities to Instacart Personal Shoppers.&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;Instacart has become a lifeline for millions of people, and we’re building the team to help push our shopping cart forward. If you’re ready to do the best work of your life, come join our table.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Instacart is a Flex First team &lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;There’s no one-size fits all approach to how we do our best work. Our employees have the flexibility to choose where they do their best work—whether it’s from home, an office, or your favorite coffee shop—while staying connected and building community through regular in-person events. &lt;a href=&quot;https://www.instacart.careers/flex-first&quot; target=&quot;_blank&quot; data-saferedirecturl=&quot;https://www.google.com/url?q=https://instacart.careers/remote/&amp;amp;source=gmail&amp;amp;ust=1651869232122000&amp;amp;usg=AOvVaw37OlxP8hAKN7nq4YwHQH7e&quot;&gt;Learn more about our flexible approach to where we work.&lt;/a&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;ABOUT THE ROLE&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;We are seeking a highly skilled and intellectually curious analyst to shape the future of financial data at Instacart, driving innovation at the intersection of systems, analytics, and business strategy.&lt;/p&gt;
&lt;p&gt;In this role, you will architect a"
39,Data / Analytics,Remote,Compliance / Risk / Fraud,Senior Data Analyst,instacart,"Canada - Remote (ON, AB, BC, or NS Only)",Greenhouse:instacart,"anomaly detection, sox, audit, compliance, reconciliation, sql, python, dashboard, data analyst, tableau, data integrity, reporting, forecasting, project management, deliverables, workflow, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-24T16:24:24-04:00,https://instacart.careers/job/?gh_jid=7783160,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;We&#39;re transforming the grocery industry&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;&lt;span class=&quot;im&quot;&gt;At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible earnings opportunities to Instacart Personal Shoppers.&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;Instacart has become a lifeline for millions of people, and we’re building the team to help push our shopping cart forward. If you’re ready to do the best work of your life, come join our table.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;Instacart is a Flex First team &lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;There’s no one-size fits all approach to how we do our best work. Our employees have the flexibility to choose where they do their best work—whether it’s from home, an office, or your favorite coffee shop—while staying connected and building community through regular in-person events. &lt;a href=&quot;https://www.instacart.careers/flex-first&quot; target=&quot;_blank&quot; data-saferedirecturl=&quot;https://www.google.com/url?q=https://instacart.careers/remote/&amp;amp;source=gmail&amp;amp;ust=1651869232122000&amp;amp;usg=AOvVaw37OlxP8hAKN7nq4YwHQH7e&quot;&gt;Learn more about our flexible approach to where we work.&lt;/a&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;ABOUT THE ROLE&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;We are seeking a highly skilled and intellectually curious analyst to shape the future of financial data at Instacart, driving innovation at the intersection of systems, analytics, and business strategy.&lt;/p&gt;
&lt;p&gt;In this role, you will architect a"
39,Compliance / Risk / Fraud,Remote,Compliance / Risk / Fraud,Internal Audit Analyst,coinbase,Remote - USA,Greenhouse:coinbase,"risk management, eligibility, audit, compliance, regulatory, data privacy, asynchronous, async, remote-first, sql, data analysis, reporting, workflow, stakeholder, cross-functional, federal, financial services, COMBO:Fraud+Data ⭐",2026-06-26T18:34:25-04:00,https://www.coinbase.com/careers/positions/8031603?gh_jid=8031603,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Ready to do the most impactful work of your career? At&amp;nbsp;&lt;a href=&quot;https://www.coinbase.com/?utm_campaign=mt_o_m_w_m_m__coi_0_jd-onchain&amp;amp;utm_source=coinbase&quot;&gt;Coinbase&lt;/a&gt;, we are uncompromising on our mission to increase economic freedom. The bar is high, the environment is intense, and we like it that way. This isn&#39;t a place for complacency, it’s a place to be pushed past your perceived limits. If you&#39;re ready to build the future of finance alongside people who refuse to settle for &quot;good enough,&quot; you belong here. Coinbase is a remote-first, but not remote-only company. Expect to get together quarterly for intense in-person working sessions called “surges.”&amp;nbsp;&lt;a href=&quot;https://www.coinbase.com/careers&quot;&gt;learn more about working at Coinbase&lt;/a&gt;.&lt;/p&gt;&lt;/div&gt;&lt;p class=&quot;mb-2 whitespace-pre-wrap&quot;&gt;As an Internal Audit Analyst on the Internal Audit team within Finance, you&#39;ll execute financial crime compliance audits end-to-end, covering planning, fieldwork, reporting, and remediation validation. Internal Audit is Coinbase&#39;s independent third line of defense, delivering objective assurance and practical recommendations that strengthen governance, risk management, and controls across the company. You&#39;ll partner with Compliance, Engineering, and Legal stakeholders to identify control gaps, evaluate risk, and drive findings to closure, helping Coinbase scale with confidence in a rapidly evolving regulatory environment.&lt;/p&gt;
&lt;p class=&quot;mb-2 whitespace-pre-wrap&quot;&gt;&lt;strong&gt;What you&#39;ll do:&lt;/strong&gt;&lt;/p&gt;
&lt;ul&gt;
&lt;li&gt;Execute end-to-end financial crime compliance audits, including scoping, risk and control assessments, walkthroughs, control testing, and drafting workpapers and reports that are clear, complete, and actionable.&lt;/li&gt;
&lt;li&gt;Own audit logistics an"
37,Operations Analytics,Contract,Compliance / Risk / Fraud,"Risk Operations Analyst, Financial Crimes",stripe,United States,Greenhouse:stripe,"risk assessment, risk management, aml, kyc, compliance, investigation, regulatory, sql, data analysis, operations analyst, reporting, workflow, stakeholder, cross-functional, process improvement, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-07-08T12:45:38-04:00,https://stripe.com/jobs/search?gh_jid=7974209,"&lt;h2&gt;Who we are&lt;/h2&gt;
&lt;h3&gt;About Stripe&lt;/h3&gt;
&lt;p&gt;&lt;span style=&quot;font-weight: 400;&quot;&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.&lt;/span&gt;&lt;/p&gt;
&lt;h3&gt;About the team&lt;/h3&gt;
&lt;p&gt;The Financial Crimes team plays a critical role in ensuring a healthy financial ecosystem and maintaining trust in Stripe&#39;s platform. We ensure that prohibited parties cannot utilize our services and identify bad actors engaging in money laundering, terrorist financing, or other financial crimes. As Stripe’s user base and global footprint grows dramatically, this team is essential for mitigating risk and upholding regulatory compliance, directly contributing to Stripe&#39;s mission of increasing the GDP of the internet safely and responsibly.&amp;nbsp;&amp;nbsp;&lt;/p&gt;
&lt;h2&gt;What you’ll do&lt;/h2&gt;
&lt;p&gt;&lt;span style=&quot;font-weight: 400;&quot;&gt;As a Risk Operations Analyst you will be working to ensure our policies, operations, and workflows align to the needs of our financial partners. You will be accountable for workflows impacting a variety of cross-functional internal and external stakeholders to identify and assess regulatory, contractual, and partner risk. Further, you will influence and advise operational teams in building out scalable operational processes to ensure compliance with service level agreements, routine reporting, and overall risk mitigation.&lt;/span&gt;&lt;/p&gt;
&lt;h3&gt;Responsibilities&lt;/h3&gt;
&lt;ul&gt;
&lt;li style=&quot;font-weight: 400;&"
37,Operations Analytics,Contract,Compliance / Risk / Fraud,"Risk Operations Analyst, Financial Crimes Programs",stripe,"Remote, US",Greenhouse:stripe,"risk assessment, risk management, aml, kyc, compliance, investigation, regulatory, sql, data analysis, operations analyst, reporting, workflow, stakeholder, cross-functional, process improvement, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-26T17:05:28-04:00,https://stripe.com/jobs/search?gh_jid=7430296,"&lt;h2&gt;Who we are&lt;/h2&gt;
&lt;h3&gt;About Stripe&lt;/h3&gt;
&lt;p&gt;&lt;span style=&quot;font-weight: 400;&quot;&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.&lt;/span&gt;&lt;/p&gt;
&lt;h3&gt;About the team&lt;/h3&gt;
&lt;p&gt;The Financial Crimes team plays a critical role in ensuring a healthy financial ecosystem and maintaining trust in Stripe&#39;s platform. We ensure that prohibited parties cannot utilize our services and identify bad actors engaging in money laundering, terrorist financing, or other financial crimes. As Stripe’s user base and global footprint grows dramatically, this team is essential for mitigating risk and upholding regulatory compliance, directly contributing to Stripe&#39;s mission of increasing the GDP of the internet safely and responsibly.&amp;nbsp;&amp;nbsp;&lt;/p&gt;
&lt;h2&gt;What you’ll do&lt;/h2&gt;
&lt;p&gt;&lt;span style=&quot;font-weight: 400;&quot;&gt;As a Risk Operations Analyst you will be working to ensure our policies, operations, and workflows align to the needs of our financial partners. You will be accountable for workflows impacting a variety of cross-functional internal and external stakeholders to identify and assess regulatory, contractual, and partner risk. Further, you will influence and advise operational teams in building out scalable operational processes to ensure compliance with service level agreements, routine reporting, and overall risk mitigation.&lt;/span&gt;&lt;/p&gt;
&lt;h3&gt;Responsibilities&lt;/h3&gt;
&lt;ul&gt;
&lt;li style=&quot;font-weight: 400;&"
37,Compliance / Risk / Fraud,In-Office / Hybrid,Compliance / Risk / Fraud,Agentic Risk Analyst,openai,San Francisco,Ashby:openai,"risk analyst, risk assessment, compliance, investigation, sql, python, dashboard, forecasting, coordination, workflow, stakeholder, cross-functional, county, fraud, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-11T19:20:34.931+00:00,https://jobs.ashbyhq.com/openai/e4d0e517-4380-43f3-b5ee-1ce30a88539f,"  About the Team   The Intelligence and Investigations team seeks to rapidly identify and mitigate abuse and strategic risks to ensure a safe online ecosystem. We are dedicated to identifying emerging abuse trends, analyzing risks, and working with our internal and external partners to implement effective mitigation strategies to protect against misuse. Our efforts contribute to OpenAI's overarching goal of developing AI that benefits humanity.  The Strategic Intelligence &amp; Analysis (SIA) team provides safety intelligence for OpenAI’s products by monitoring, analyzing, and forecasting real-world abuse, geopolitical risks, and strategic threats. Our work informs safety mitigations, product decisions, and partnerships, ensuring OpenAI’s tools are deployed securely and responsibly across critical sectors.     About the Role   As an Agentic Risk Analyst, you will shape OpenAI’s operating picture for current agentic risk across products and platforms. You will bring a strategic, system-level perspective to current risks, connecting individual incidents, technical findings, abuse patterns, and external developments to relevant workstreams, mitigations, owners, dependencies, and residual gaps. You will analyze how risks emerge through autonomy, multi-step task execution, tool use, memory, retrieval, connectors, computer-use capabilities, and multi-agent workflows, with a particular focus on both adversarial misuse and unintended system behavior. By synthesizing signals from investigations, evaluations, red teaming, security reviews, product launches, external research, and real-world incidents, you will maintain a current view of material risks and evolving threat patterns. Your work will help turn complex and often ambiguous signals into coordinated decisions and measurable follow-through across product, safety, security, policy, and governance teams.   You will work closely with investigators, engineers, product, policy, safety, and security teams, and measurement an"
36,Operations Analytics,Remote,Compliance / Risk / Fraud,Capital Operations Analyst,affirm,Remote US,Greenhouse:affirm,"risk management, audit, reconciliation, remote-first, sql, python, excel, operations analyst, reporting, coordination, workflow, stakeholder, cross-functional, financial services, fintech, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-18T11:27:47-04:00,https://job-boards.greenhouse.io/affirm/jobs/7764113003,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;About the Capital Team&lt;/strong&gt;&lt;br&gt;&lt;br&gt;The Capital team manages the financial foundation that supports Affirm’s lending and innovation. We lead the funding, liquidity, and risk management strategy across capital markets, treasury, deal structuring, analytics, and bank partnerships. The team secures efficient funding while supporting sustainable business growth. We balance cost, flexibility, and risk to ensure Affirm’s financial resilience through all economic cycles. By optimizing capital structure and managing liquidity, we help build a scalable and resilient financial platform.&amp;nbsp;&lt;br&gt;&lt;br&gt;&lt;strong&gt;About the Role&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;We are looking for a highly technical and execution-oriented individual to join the Treasury team as a Capital Operations Analyst. Treasury is responsible for the capital management and operations, funding and liquidity planning, and balance sheet risk management of a rapidly growing FinTech company. In this particular role, you will focus on the funding operations for Affirm’s loan portfolio. This is a hands-on role for someone who enjoys solving problems in real time, digging into the operational details, and improving processes in a fast pace environment. You will have a unique opportunity to work cross-functionally across Capital, Finance, Product, and Engineering to drive better decisions and build long term solutions. The ideal candidate will feel comfortable rolling up their sleeves to manage day to day execution, while also displaying strong interpersonal skills to manage various stakeholders.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;What You’ll Do&lt;/strong&gt;&lt;/p&gt;
&lt;ul&gt;
&lt;li&gt;Support all capital and f"
34,Data / Analytics,Remote,Compliance / Risk / Fraud,"Staff Analyst, Advanced Analytics, Payments",airbnb,United States,Greenhouse:airbnb,"aml, compliance, reconciliation, regulatory, sql, python, excel, data analysis, etl, reporting, workflow, stakeholder, cross-functional, process improvement, fintech, COMBO:Fraud+Data ⭐, COMBO:Ops+Data",2026-06-22T12:52:38-04:00,https://careers.airbnb.com/positions/8003341?gh_jid=8003341,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;We are looking for an expert leader to join our community as the Staff Payments Advanced Analytics. In this capacity, you will be a vital driver in executing the strategic vision for Airbnb&#39;s global Payments operations.&lt;/p&gt;
&lt;p&gt;As a key data thought partner, you will streamline integrated, data-informed decision-making across the Payments Platform, Product, and Operations teams. Our organization is dedicated to achieving operational excellence and enhancing the Guest and Host experience through a rigorous culture of problem-solving fueled by data and research. You will embed quantitative measurement into our user journeys and product processes, establishing objective indicators for success. Collaborating with a cross-functional team of engineers and finance partners, you will oversee the technical details of fund processing, including collection, reconciliation, and settlement systems. Your expertise in building relationships and framing narratives will be essential as you influence stakeholders at every level to drive global process improvements and optimize our payments data landscape.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;The Difference You Will Make:&lt;/strong&gt;&lt;/p&gt;
&lt;ul&gt;
&lt;li&gt;Act as a vital data thought partner to leadership, delivering actionable insights and recommendations that empower integrated, data-informed decisi"
